�..district,DISTRICT,DemShare2018,GOPShare208,Other2018,Reporting2018,GOP2party2018,Uncontested2018,GOPcandidate,GOPvotes2016,TotalVotes2016,candidate.D,DemVotes2016,Uncontested2016,gop2party2016
AK1,Alaska,—,0.54,0.46,0.99,1,1,Don Young,155088,308198,Steve Lindbeck,111019,0,0.582803158
AL1,Ala. 1,0.37,0.63,—,1,0.63,0,Bradley Byrne,208083,215893,NA,0,1,1
AL2,Ala. 2,0.39,0.62,—,1,0.613861386,0,Martha Roby,134886,276584,Nathan Mathis,112089,0,0.546152445
AL3,Ala. 3,0.36,0.64,—,1,0.64,0,Mike Rogers,192164,287104,Jesse Smith,94549,0,0.670231207
AL4,Ala. 4,0.2,0.8,—,1,0.8,0,Robert B. Aderholt,235925,239444,NA,0,1,1
AL5,Ala. 5,0.39,0.61,—,1,0.61,0,Mo Brooks,205647,308326,"Will Boyd, Jr.",102234,0,0.667943134
AL6,Ala. 6,0.31,0.69,—,1,0.69,0,Gary J. Palmer,245313,329306,David J. Putnam,83709,0,0.745582362
AL7,Ala. 7,Unc.,—,—,0,0,1,NA,0,0,Terri A. Sewell,229330,1,0
AR1,Ark. 1,0.29,0.69,0.02,1,0.704081633,0,"Eric A. ""Rick"" Crawford",183866,241047,NA,0,1,1
AR2,Ark. 2,0.46,0.52,0.02,1,0.530612245,0,J. French Hill,176472,302464,Dianne Curry,111347,0,0.613135339
AR3,Ark. 3,0.33,0.65,0.03,0.97,0.663265306,0,Steve Womack,217192,280907,NA,0,1,1
AR4,Ark. 4,0.31,0.67,0.02,0.98,0.683673469,0,Bruce Westerman,182885,244159,NA,0,1,1
AZ1,Ariz. 1,0.53,0.47,—,0.99,0.47,0,Paul Babeu,121745,280710,Tom O'Halleran,142219,0,0.461218196
AZ2,Ariz. 2,0.53,0.47,—,0.99,0.47,0,Martha McSally,179806,315679,Matt Heinz,135873,0,0.569584926
AZ3,Ariz. 3,0.61,0.39,—,0.98,0.39,0,Jaime Vasquez,332,151035,Harvey Martin,283,0,0.539837398
AZ4,Ariz. 4,0.3,0.69,0.01,1,0.696969697,0,Paul A. Gosar,203487,284783,Mikel Weisser,81296,0,0.714533522
AZ5,Ariz. 5,0.4,0.6,—,1,0.6,0,Andy Biggs,205184,320124,Talia Fuentes,114940,0,0.640951631
AZ6,Ariz. 6,0.44,0.56,—,1,0.56,0,David Schweikert,201578,324444,W. John Williamson,122866,0,0.621302906
AZ7,Ariz. 7,0.84,—,0.16,1,0,1,Eve Nunez,39286,158811,Ruben Gallego,119465,0,0.247469307
AZ8,Ariz. 8,0.43,0.57,—,1,0.57,0,Hayden Keener III,75,298971,NA,0,1,1
AZ9,Ariz. 9,0.6,0.41,—,1,0.405940594,0,Dave Giles,108350,277507,Kyrsten Sinema,169055,0,0.390584164
CA1,Calif. 1,0.44,0.56,—,1,0.56,0,Doug LaMalfa,185448,314036,Jim Reed,128588,0,0.590531022
CA10,Calif. 10,0.49,0.51,—,1,0.51,0,Jeff Denham,124671,241141,Michael Eggman,116470,0,0.517004574
CA11,Calif. 11,0.72,0.28,—,1,0.28,0,Roger Allen Petersen,83341,298209,Mark DeSaulnier,214868,0,0.27947178
CA12,Calif. 12,0.86,0.14,—,1,0.14,0,NA,0,0,Nancy Pelosi,274035,1,0
CA13,Calif. 13,0.88,—,0.12,1,0,1,Sue Caro,29754,322871,Barbara Lee,293117,0,0.092154452
CA14,Calif. 14,0.77,0.24,—,1,0.237623762,0,Angel Cardenas,54817,286447,Jackie Speier,231630,0,0.191368735
CA15,Calif. 15,0.7,0.3,—,1,0.3,0,Danny R. Turner,70619,269197,Eric Swalwell,198578,0,0.262332047
CA16,Calif. 16,0.54,0.46,—,1,0.46,0,Johnny M. Tacherra,70483,167956,Jim Costa,97473,0,0.419651575
CA17,Calif. 17,0.73,0.27,—,1,0.27,0,Ro Khanna,142268,233192,Michael M. Honda,90924,0,0.61008954
CA18,Calif. 18,0.72,0.28,—,1,0.28,0,Richard B. Fox,93470,323930,Anna G. Eshoo,230460,0,0.288549995
CA19,Calif. 19,0.71,0.29,—,1,0.29,0,G. Burt Lancaster,64061,245863,Zoe Lofgren,181802,0,0.260555675
CA2,Calif. 2,0.75,0.26,—,1,0.257425743,0,Dale K. Mensing,76572,330766,Jared Huffman,254194,0,0.231499005
CA20,Calif. 20,0.79,—,0.21,1,0,1,Casey Lucius,74811,255791,Jimmy Panetta,180980,0,0.292469242
CA21,Calif. 21,0.46,0.54,—,1,0.54,0,David G. Valadao,75126,132408,Emilio Huerta,57282,0,0.567382635
CA22,Calif. 22,0.44,0.56,—,1,0.56,0,Devin Nunes,158755,234966,Louie J. Campos,76211,0,0.675650945
CA23,Calif. 23,0.34,0.67,—,1,0.663366337,0,Kevin McCarthy,167116,241584,Wendy Reed,74468,0,0.691751109
CA24,Calif. 24,0.56,0.44,—,1,0.44,0,Justin Donald Fareed,144780,310814,Salud Carbajal,166034,0,0.465809133
CA25,Calif. 25,0.51,0.49,—,1,0.49,0,Stephen Knight,138755,261161,Bryan Caforio,122406,0,0.531300615
CA26,Calif. 26,0.59,0.41,—,1,0.41,0,Rafael A. Dagnesses,111059,280307,Julia Brownley,169248,0,0.396204875
CA27,Calif. 27,0.78,—,—,1,0,1,Jack Orswell,81655,250632,Judy Chu,168977,0,0.325796387
CA28,Calif. 28,0.76,0.24,—,1,0.24,0,Lenore Solis,59526,270409,Adam B. Schiff,210883,0,0.220133206
